"yr","IE.annual","dens_ha"
2017,0.388131361593418,0.5239
2018,0.347512707920366,0.56909
2019,0.44793278418064,0.53663
2020,0.211932312929129,NA
2021,0.53254675693918,0.41647
2022,0.553068101469167,0.45268
2023,0.335639398965508,0.5007
2024,0.290557861155377,0.58726
2025,0.38572887987973,NA
