"Plot","yr","Tratamiento","lrr_riq","lrr_cov","IE.annual","densidad","densidad_z","ie_anual_z"
"1",2017,"Exclosure",-0.0953101798043249,0.397301797469003,0.388131361593418,52.39,0.202061138971829,0.271460877444459
"1",2017,"Partial",0.0870113769896297,0.293761118528163,0.388131361593418,52.39,0.202061138971829,0.271460877444459
"1",2018,"Exclosure",0,0,0.347512707920366,56.909,0.995383716742198,0.703941794649428
"1",2018,"Partial",-0.0870113769896298,0.248896047416624,0.347512707920366,56.909,0.995383716742198,0.703941794649428
"1",2019,"Exclosure",0,0.552789822865023,0.44793278418064,53.663,0.425539705358569,-0.365265644780038
"1",2019,"Partial",0.182321556793955,0.389464766761723,0.44793278418064,53.663,0.425539705358569,-0.365265644780038
"1",2021,"Exclosure",-0.251314428280906,0.267062785249045,0.53254675693918,41.647,-1.68390134232648,-1.26618000894193
"1",2021,"Partial",-0.405465108108164,0.0400053346136992,0.53254675693918,41.647,-1.68390134232648,-1.26618000894193
"1",2022,"Exclosure",-0.356674943938732,0.324239668185579,0.553068101469167,45.268,-1.04822507454456,-1.48467789358491
"1",2022,"Partial",-0.356674943938732,0.244196960512042,0.553068101469167,45.268,-1.04822507454456,-1.48467789358491
"1",2023,"Exclosure",-0.510825623765991,0.119545150649783,0.335639398965508,50.07,-0.205221087278946,0.830361040062815
"1",2023,"Partial",-0.405465108108164,-0.191891007810105,0.335639398965508,50.07,-0.205221087278946,0.830361040062815
"1",2024,"Exclosure",-0.0800427076735364,0.0800427076735364,0.290557861155377,58.726,1.3143629430774,1.31035983515018
"1",2024,"Partial",-0.0800427076735364,-0.0139862419747398,0.290557861155377,58.726,1.3143629430774,1.31035983515018
"2",2017,"Exclosure",0.0870113769896297,0.866418901833982,0.388131361593418,52.39,0.202061138971829,0.271460877444459
"2",2017,"Partial",0.167054084663166,0.102654154060083,0.388131361593418,52.39,0.202061138971829,0.271460877444459
"2",2018,"Exclosure",0,0.120144311842063,0.347512707920366,56.909,0.995383716742198,0.703941794649428
"2",2018,"Partial",0.0800427076735364,0.138836444854216,0.347512707920366,56.909,0.995383716742198,0.703941794649428
"2",2019,"Exclosure",-0.367724780125317,-0.231111720963387,0.44793278418064,53.663,0.425539705358569,-0.365265644780038
"2",2019,"Partial",-0.485507815781701,-0.429562659687225,0.44793278418064,53.663,0.425539705358569,-0.365265644780038
"2",2021,"Exclosure",-0.405465108108164,0.0173917427118692,0.53254675693918,41.647,-1.68390134232648,-1.26618000894193
"2",2021,"Partial",-0.182321556793955,-0.281851152140988,0.53254675693918,41.647,-1.68390134232648,-1.26618000894193
"2",2022,"Exclosure",-0.510825623765991,0.110000895214328,0.553068101469167,45.268,-1.04822507454456,-1.48467789358491
"2",2022,"Partial",0,-0.205852054204149,0.553068101469167,45.268,-1.04822507454456,-1.48467789358491
"2",2023,"Exclosure",-0.887303195000903,-0.0882926071456783,0.335639398965508,50.07,-0.205221087278946,0.830361040062815
"2",2023,"Partial",-0.268263986594679,-0.549107810337008,0.335639398965508,50.07,-0.205221087278946,0.830361040062815
"2",2024,"Exclosure",-0.587786664902119,0.0281708769666962,0.290557861155377,58.726,1.3143629430774,1.31035983515018
"2",2024,"Partial",-0.182321556793955,-0.0438026226583929,0.290557861155377,58.726,1.3143629430774,1.31035983515018
"3",2017,"Exclosure",0.143100843640673,-0.100083458556983,0.388131361593418,52.39,0.202061138971829,0.271460877444459
